iter	Passed	Remaining
0	141	141788
1	143	71704
2	145	48406
3	147	36709
4	148	29640
5	150	24986
6	152	21685
7	154	19185
8	156	17229
9	158	15686
10	160	14440
11	162	13365
12	164	12506
13	166	11754
14	168	11074
15	170	10473
16	171	9945
17	173	9473
18	175	9051
19	177	8689
20	179	8372
21	181	8071
22	184	7817
23	185	7554
24	187	7317
25	189	7101
26	191	6904
27	193	6721
28	195	6540
29	196	6369
30	198	6209
31	200	6055
32	201	5913
33	203	5781
34	205	5666
35	207	5550
36	208	5436
37	210	5331
38	212	5230
39	214	5136
40	215	5044
41	217	4962
42	220	4896
43	221	4814
44	223	4739
45	224	4663
46	226	4593
47	228	4524
48	229	4459
49	232	4410
50	234	4356
51	235	4298
52	237	4242
53	238	4186
54	240	4137
55	242	4085
56	244	4038
57	245	3995
58	248	3958
59	249	3914
60	251	3873
61	253	3832
62	254	3791
63	256	3752
64	258	3714
65	260	3682
66	262	3652
67	264	3622
68	266	3589
69	267	3556
70	269	3525
71	271	3496
72	273	3470
73	275	3450
74	277	3422
75	279	3395
76	280	3367
77	282	3340
78	284	3313
79	285	3287
80	287	3262
81	289	3241
82	290	3208
83	292	3185
84	293	3162
85	295	3139
86	297	3117
87	298	3095
88	300	3073
89	302	3055
90	304	3038
91	305	3020
92	307	3000
93	309	2980
94	310	2961
95	312	2942
96	314	2923
97	315	2905
98	317	2891
99	319	2874
100	321	2857
101	322	2840
102	324	2825
103	326	2810
104	327	2793
105	329	2776
106	330	2761
107	333	2750
108	334	2737
109	336	2724
110	338	2709
111	339	2693
112	341	2677
113	342	2664
114	344	2650
115	346	2641
116	347	2626
117	349	2615
118	351	2603
119	353	2590
120	355	2579
121	356	2568
122	359	2560
123	361	2557
124	363	2546
125	365	2537
126	367	2524
127	368	2513
128	370	2503
129	373	2498
130	376	2497
131	378	2489
132	380	2478
133	382	2468
134	383	2459
135	385	2448
136	387	2438
137	390	2436
138	391	2426
139	393	2416
140	395	2407
141	396	2393
142	397	2384
143	399	2376
144	401	2369
145	403	2361
146	405	2353
147	407	2344
148	409	2336
149	410	2327
150	412	2318
151	414	2309
152	416	2302
153	418	2297
154	419	2289
155	421	2281
156	423	2272
157	424	2263
158	426	2255
159	428	2248
160	429	2238
161	431	2232
162	433	2225
163	435	2218
164	436	2211
165	438	2204
166	440	2196
167	442	2189
168	443	2182
169	445	2176
170	447	2169
171	449	2162
172	450	2155
173	452	2147
174	454	2140
175	455	2134
176	457	2128
177	459	2121
178	461	2114
179	462	2107
180	464	2101
181	466	2094
182	467	2087
183	469	2082
184	471	2079
185	473	2073
186	475	2067
187	477	2061
188	478	2055
189	480	2048
190	482	2041
191	483	2035
192	488	2044
193	490	2039
194	492	2033
195	494	2026
196	495	2020
197	497	2014
198	498	2008
199	500	2002
200	502	1998
201	504	1994
202	506	1988
203	508	1983
204	510	1978
205	511	1973
206	513	1968
207	516	1966
208	518	1961
209	520	1956
210	521	1951
211	523	1947
212	525	1943
213	528	1941
214	530	1937
215	532	1933
216	534	1928
217	536	1926
218	539	1922
219	540	1918
220	543	1915
221	545	1911
222	547	1906
223	549	1902
224	551	1897
225	552	1893
226	554	1888
227	556	1884
228	558	1881
229	560	1877
230	562	1872
231	564	1868
232	566	1864
233	567	1859
234	570	1856
235	572	1852
236	574	1848
237	575	1843
238	577	1838
239	579	1833
240	580	1829
241	582	1825
242	585	1823
243	588	1823
244	590	1820
245	592	1816
246	594	1813
247	596	1809
248	599	1806
249	602	1806
250	604	1802
251	606	1798
252	607	1794
253	609	1790
254	611	1786
255	613	1782
256	617	1786
257	619	1783
258	621	1779
259	623	1774
260	625	1770
261	627	1767
262	630	1767
263	632	1764
264	634	1760
265	636	1756
266	638	1753
267	640	1748
268	642	1746
269	645	1744
270	647	1741
271	649	1738
272	651	1734
273	653	1731
274	656	1730
275	659	1729
276	661	1727
277	663	1723
278	665	1719
279	667	1715
280	669	1712
281	673	1713
282	675	1710
283	676	1705
284	678	1701
285	679	1697
286	681	1692
287	682	1688
288	684	1684
289	686	1681
